"species","family","class","included_in_analysis"
"Bokermannohyla_hylax","Hylidae","Amphibia",TRUE
"Bokermannohyla_ibitiguara","Hylidae","Amphibia",TRUE
"Bokermannohyla_ibitipoca","Hylidae","Amphibia",TRUE
"Bokermannohyla_itapoty","Hylidae","Amphibia",TRUE
"Bokermannohyla_izecksohni","Hylidae","Amphibia",FALSE
"Bokermannohyla_langei","Hylidae","Amphibia",TRUE
"Bokermannohyla_lucianae","Hylidae","Amphibia",TRUE
"Bokermannohyla_luctuosa","Hylidae","Amphibia",TRUE
"Bokermannohyla_martinsi","Hylidae","Amphibia",TRUE
"Bokermannohyla_nanuzae","Hylidae","Amphibia",TRUE
"Bokermannohyla_oxente","Hylidae","Amphibia",TRUE
"Bokermannohyla_pseudopseudis","Hylidae","Amphibia",TRUE
"Bokermannohyla_ravida","Hylidae","Amphibia",TRUE
"Bokermannohyla_sagarana","Hylidae","Amphibia",FALSE
"Bokermannohyla_saxicola","Hylidae","Amphibia",TRUE
"Bokermannohyla_sazimai","Hylidae","Amphibia",TRUE
"Bokermannohyla_vulcaniae","Hylidae","Amphibia",TRUE
"Bolitoglossa_adspersa","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_alberchi","Plethodontidae","Amphibia",FALSE
"Bolitoglossa_altamazonica","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_alvaradoi","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_anthracina","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_biseriata","Plethodontidae","Amphibia",FALSE
"Bolitoglossa_borburata","Plethodontidae","Amphibia",FALSE
"Bolitoglossa_bramei","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_capitana","Plethodontidae","Amphibia",FALSE
"Bolitoglossa_carri","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_celaque","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_cerroensis","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_chica","Plethodontidae","Amphibia",FALSE
"Bolitoglossa_colonnea","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_compacta","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_conanti","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_copia","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_cuchumatana","Plethodontidae","Amphibia",FALSE
"Bolitoglossa_cuna","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_decora","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_diaphora","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_digitigrada","Plethodontidae","Amphibia",FALSE
"Bolitoglossa_diminuta","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_dofleini","Plethodontidae","Amphibia",TRUE
"Bolitoglossa_dunni","Plethodontidae","Amphibia",TRUE
